Batch Name (Spark 3.0.1)	Rule Name	Rule Strategy
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushLeftSemiLeftAntiThroughJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.LimitPushDown	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ColumnPruning	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CollapseRepartition	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CollapseProject	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CollapseWindow	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineFilters	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineLimits	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineUnions	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.TransposeWindow	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.NullPropagation	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ConstantPropagation	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.FoldablePropagation	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.OptimizeIn	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ConstantFolding	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ReorderAssociativeOperator	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.LikeSimplification	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.BooleanSimplification	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.SimplifyConditionals	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.RemoveDispensableExpressions	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.SimplifyBinaryComparison	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ReplaceNullWithFalseInPredicate	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PruneFilters	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.SimplifyCasts	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.SimplifyCaseConversionExpressions	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.RewriteCorrelatedScalarSubquery	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.EliminateSerialization	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.RemoveRedundantAliases	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.RemoveNoopOperators	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.SimplifyExtractValueOps	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization before Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineConcats	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Infer Filters	org.apache.spark.sql.catalyst.optimizer.InferFiltersFromConstraints	Once
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushProjectionThroughUnion	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ReorderJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.EliminateOuterJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushDownPredicates	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushDownLeftSemiAntiJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.PushLeftSemiLeftAntiThroughJoin	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.LimitPushDown	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.ColumnPruning	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CollapseRepartition	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CollapseProject	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CollapseWindow	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineFilters	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineLimits	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.CombineUnions	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
Operator Optimization after Inferring Filters	org.apache.spark.sql.catalyst.optimizer.TransposeWindow	FixedPoint(100,false,spark.sql.optimizer.maxIterations)
